timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
19:05.3,,,90,,98.5,,,,,,,17,-1.9841685000000002,43.29144,167.57787,19:05.4,6,-0.127,0101000020E6100000CCE8F27227BFFFBF7C2E3AE54DA54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,3.005166646014739,-70.48507452931531,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:10.9,,,90,,98.5,,,,,,,17,-1.984048,43.2911,166.64891,19:10.4,6,0.473,0101000020E6100000ABDAE62EA9BEFFBF63C4A4B642A54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,2.51450357822889,-75.65602787892132,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:16.5,,,90,,98.5,,,,,,,17,-1.9839585,43.29075,167.01303000000001,19:16.5,6,0.003,0101000020E6100000038DAF424BBEFFBF8946493237A54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,3.240006765324662,-67.91690261871537,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:22.1,,,90,,98.5,,,,,,,17,-1.9838449,43.29047,167.6011,19:22.5,6,-0.42700000000000005,0101000020E61000000BE6342DD4BDFFBFB90B9C102EA54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,3.360482371688373,-66.57130719287315,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:27.7,,,90,,98.5,,,,,,,17,-1.9838189,43.290409999999994,168.22177,19:27.6,6,0.08900000000000001,0101000020E610000032137CEAB8BDFFBF25B10D2B2CA54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,3.6424917151917064,-63.335390660363885,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:33.1,,,90,,98.5,,,,,,,17,-1.9837265,43.290226000000004,166.90018,19:33.6,6,-0.45899999999999996,0101000020E6100000A0C8090258BDFFBFC8BD2C1326A54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,4.895318541715494,-46.629418649742604,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:38.7,,,90,,98.5,,,,,,,17,-1.9835933000000001,43.290085,167.62141,19:38.7,6,0.025,0101000020E6100000C21E515CCCBCFFBFB9B0028021A54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,5.885241958632441,-25.248597145223915,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:44.2,,,90,,98.5,,,,,,,17,-1.9833028000000001,43.289947999999995,166.96200000000002,19:44.7,6,-0.46299999999999997,0101000020E6100000943622C09BBBFFBF2ED0EAFC1CA54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,2.2553501270698684,-78.30106239106416,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:49.8,,,90,,98.5,,,,,,,17,-1.9832618000000002,43.28975,166.96838,19:49.8,6,-0.001,0101000020E6100000C7E92ACC70BBFFBF8E858B7A16A54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,2.876949560902278,-71.85977463395686,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
19:55.2,,,90,,98.5,,,,,,,17,-1.9831526999999998,43.289417,168.52135,19:54.7,6,0.45399999999999996,0101000020E61000000EA46D5EFEBAFFBFCACF05A20BA54540,20230419_DACIA_DONOSTIA_HERNANI_017,,d2,18:11.0,26:51.9,DACIA_SPRING,Dacia Spring 33 kW,33000,139,17:59.6,3.8,6.1,280,W,3.7423698092163558,-62.1567560908707,429,98,20.0,195.0,201.0,,,,13,394,35,25,2
