timestamp_data_utc,elv_spy,speed,soc,amb_temp,soh,regenwh,Motor Pwr(w),Aux Pwr(100w),Motor Temp,Torque Nm,rpm,route_id,longitude,latitude,altitude,timestamp_gps_utc,car_id,time_diff,point_geom,route_code,route_description,driver,start_timestamp,end_timestamp,car_code,car_description,capacity,ref_consumption,timestamp_weather_utc,wind_mph,wind_kph,wind_degree,wind_dir,Frontal_Wind,Veh_deg,totalVehicles,speedAvg,cars_by_speed_interval_0_80,cars_by_speed_interval_80_100,cars_by_speed_interval_100_120,cars_by_speed_interval_0_50,cars_by_speed_interval_50_80,cars_by_speed_interval_80_120,cars_by_speed_interval_120_inf,cars_by_length_interval_0_7,cars_by_length_interval_7_inf,max_speed,radius
48:07.8,,,94,,98.5,,,,,,,49,-2.4891224,43.17992,212.96857999999997,48:07.7,6,0.083,0101000020E610000028951600B9E903C0F2738B9907974540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,3.9465915480198466,-150.62660225324436,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,40.0,5.0
48:13.3,,,94,,98.5,,,,,,,49,-2.4893658,43.179783,210.46922,48:13.7,6,-0.469,0101000020E6100000EE4AA6A838EA03C04A64442903974540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,3.999273750555634,-158.9081647477635,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,8.0,5.0
48:19.7,,,94,,98.5,,,,,,,49,-2.4899310000000003,43.179565000000004,208.18442,48:19.8,6,-0.081,0101000020E61000007250A9FE60EB03C0BDA7940DFC964540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,3.6059320182662296,-134.3536914803622,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,40.0,5.0
48:25.2,,,94,,98.5,,,,,,,49,-2.4903035,43.179184,204.36253,48:24.8,6,0.373,0101000020E61000009277C64F24EC03C0F4CA4D72EF964540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,3.3908667789627116,-127.96418622092791,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,40.0,5.0
48:30.8,,,94,,98.5,,,,,,,49,-2.490806,43.178540000000005,199.8946,48:30.9,6,-0.09300000000000001,0101000020E61000009CAAC0B12BED03C0FD7D9863DA964540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,3.599037663651245,-134.12646153046848,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,40.0,5.0
48:36.4,,,94,,98.5,,,,,,,49,-2.4913355999999998,43.177994,196.27268999999998,48:35.9,6,0.42700000000000005,0101000020E61000005112E86241EE03C05C8DA67EC8964540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,3.9770653510855394,-153.8615120258741,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,80.0,5.0
48:41.9,,,94,,98.5,,,,,,,49,-2.49222,43.17756,197.85132,48:42.0,6,-0.027999999999999997,0101000020E61000003380D4FD10F003C03A3D4A3FBA964540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,3.886427586751962,-173.68601568777504,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,40.0,5.0
48:47.5,,,94,,98.5,,,,,,,49,-2.4929159,43.177483,199.62398000000002,48:47.0,6,0.405,0101000020E61000002E028FE57DF103C010520BB9B7964540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,3.64060885805564,175.5263949256378,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,40.0,5.0
48:53.0,,,94,,98.5,,,,,,,49,-2.493261,43.17751,203.96918,48:53.1,6,-0.146,0101000020E6100000374674EC32F203C003C75D91B8964540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,-3.8269085420553792,3.0829698047686542,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,40.0,5.0
48:58.4,,,94,,98.5,,,,,,,49,-2.4932053,43.177513,207.13326999999998,48:58.2,6,0.225,0101000020E6100000DF25829115F203C040A407CFB8964540,20230420_DACIA_EIBAR_BILBAO_049,,d1,48:07.7,32:43.5,DACIA_SPRING,Dacia Spring 33 kW,33000,139,49:19.5,2.5,4.0,70,ENE,-3.7587704831436337,0.0,209.0,57.0,,,,45.0,163.0,1.0,0.0,190.0,19.0,40.0,5.0
